,Date,Open,High,Low,Close,Adj Close,Volume,Day,Month,Year,Quarter
750,2022-03-30,79.800003,79.800003,77.400002,78.133331,69.690788,159640347,30,3,2022,Q1
749,2022-03-29,80.199997,80.866669,78.666664,78.866669,70.344887,14627074,29,3,2022,Q1
748,2022-03-28,79.599998,80.466667,78.466667,79.966667,71.326035,15342876,28,3,2022,Q1
747,2022-03-25,80.033333,80.566666,79.066666,79.199997,70.642204,12238471,25,3,2022,Q1
746,2022-03-24,81.199997,81.433334,80.23333,80.400002,71.71254,12377631,24,3,2022,Q1
745,2022-03-23,81.23333,82.0,80.433334,81.133331,72.366631,25271163,23,3,2022,Q1
744,2022-03-22,79.333336,81.23333,79.0,80.433334,71.742264,30929289,22,3,2022,Q1
743,2022-03-21,81.199997,81.199997,78.533333,78.666664,70.166496,18166521,21,3,2022,Q1
742,2022-03-17,81.599998,81.933334,80.066666,80.900002,72.158508,41700111,17,3,2022,Q1
741,2022-03-16,80.199997,81.73333,79.633331,81.300003,72.515289,15176752,16,3,2022,Q1
740,2022-03-15,80.533333,80.699997,78.800003,79.333336,70.761131,16501842,15,3,2022,Q1
739,2022-03-14,83.23333,83.23333,80.033333,80.533333,71.831474,22317814,14,3,2022,Q1
738,2022-03-11,80.533333,82.933334,80.266663,82.466667,73.555901,18598243,11,3,2022,Q1
737,2022-03-10,79.366669,80.933334,78.466667,80.633331,71.920662,27592384,10,3,2022,Q1
736,2022-03-09,79.266663,79.266663,77.199997,77.966667,69.542137,23476054,9,3,2022,Q1
735,2022-03-08,74.666664,78.5,74.400002,78.033333,69.601601,33483859,8,3,2022,Q1
734,2022-03-07,75.966667,75.966667,74.133331,74.833336,66.747368,25392553,7,3,2022,Q1
733,2022-03-04,76.633331,76.933334,75.199997,75.5,67.342003,25005861,4,3,2022,Q1
732,2022-03-03,76.666664,77.666664,75.333336,76.433334,68.174484,28291584,3,3,2022,Q1
731,2022-03-02,75.833336,77.599998,74.300003,74.833336,66.747368,22390246,2,3,2022,Q1
730,2022-02-28,75.199997,77.466667,73.73333,76.666664,68.382599,24781798,28,2,2022,Q1
729,2022-02-25,75.333336,79.0,74.0,74.900002,66.806831,28048713,25,2,2022,Q1
728,2022-02-24,76.633331,77.466667,72.866669,73.333336,65.409447,19848141,24,2,2022,Q1
727,2022-02-23,78.533333,78.866669,77.666664,78.099998,69.661057,8525215,23,2,2022,Q1
726,2022-02-22,78.0,79.099998,77.666664,78.066666,69.631332,11409610,22,2,2022,Q1
725,2022-02-21,80.0,80.766663,79.066666,79.466667,70.880058,8595442,21,2,2022,Q1
724,2022-02-18,80.933334,81.533333,80.400002,80.766663,72.039581,7978566,18,2,2022,Q1
723,2022-02-17,81.900002,82.633331,80.333336,80.933334,72.18824,16774602,17,2,2022,Q1
722,2022-02-16,79.5,81.466667,79.5,81.0,72.247711,17673190,16,2,2022,Q1
721,2022-02-15,78.0,79.333336,76.333336,79.166664,70.612473,12978223,15,2,2022,Q1
720,2022-02-14,80.666664,80.666664,77.433334,77.699997,69.304276,16463770,14,2,2022,Q1
719,2022-02-11,79.666664,81.766663,79.366669,81.366669,72.574753,26486850,11,2,2022,Q1
718,2022-02-10,80.73333,80.966667,79.766663,79.966667,71.326035,18120168,10,2,2022,Q1
717,2022-02-09,79.0,81.133331,78.5,80.699997,71.980118,17581473,9,2,2022,Q1
716,2022-02-08,82.066666,82.366669,80.0,80.900002,69.779991,23545662,8,2,2022,Q1
715,2022-02-07,83.0,83.066666,81.666664,81.933334,70.671288,13452373,7,2,2022,Q1
714,2022-02-04,83.266663,83.566666,82.466667,82.766663,71.390068,10723602,4,2,2022,Q1
713,2022-02-03,83.599998,83.900002,82.766663,83.099998,71.677589,13117138,3,2,2022,Q1
712,2022-02-02,81.666664,83.300003,81.466667,82.966667,71.562592,14749194,2,2,2022,Q1
711,2022-02-01,84.0,84.0,79.666664,81.166664,70.010002,34627617,1,2,2022,Q1
710,2022-01-31,84.466667,85.333336,82.800003,83.466667,71.993858,19787082,31,1,2022,Q1
709,2022-01-28,82.199997,84.699997,82.199997,82.73333,71.361313,14995069,28,1,2022,Q1
708,2022-01-27,80.599998,82.5,79.866669,81.800003,70.556282,12890338,27,1,2022,Q1
707,2022-01-25,80.133331,81.133331,79.533333,80.966667,69.837502,9651480,25,1,2022,Q1
706,2022-01-24,80.666664,81.633331,79.933334,80.23333,69.204956,19665838,24,1,2022,Q1
705,2022-01-21,82.666664,83.666664,80.5,81.133331,69.981247,14728332,21,1,2022,Q1
704,2022-01-20,83.400002,83.966667,82.900002,83.666664,72.166367,10007508,20,1,2022,Q1
703,2022-01-19,82.400002,83.73333,82.0,83.400002,71.936356,14870110,19,1,2022,Q1
702,2022-01-18,82.800003,83.699997,82.23333,82.633331,71.275063,21395779,18,1,2022,Q1
701,2022-01-17,83.333336,83.333336,82.133331,82.5,71.160065,14548522,17,1,2022,Q1
700,2022-01-14,81.0,82.933334,80.900002,82.199997,70.901291,22431007,14,1,2022,Q1
699,2022-01-13,79.766663,81.0,79.23333,80.766663,69.664978,12559629,13,1,2022,Q1
698,2022-01-12,79.466667,80.0,78.900002,79.433334,68.514915,10748385,12,1,2022,Q1
697,2022-01-11,80.300003,80.300003,78.800003,79.066666,68.198654,8919054,11,1,2022,Q1
696,2022-01-10,79.333336,80.099998,78.866669,79.800003,68.831192,9923601,10,1,2022,Q1
695,2022-01-07,78.433334,79.466667,77.966667,79.0,68.141151,11303518,7,1,2022,Q1
694,2022-01-06,78.199997,78.433334,75.366669,78.166664,67.422363,10795557,6,1,2022,Q1
693,2022-01-05,76.033333,78.300003,75.866669,78.166664,67.422363,21374004,5,1,2022,Q1
692,2022-01-04,75.800003,76.599998,75.5,76.033333,65.58226,8322088,4,1,2022,Q1
691,2022-01-03,74.333336,75.533333,74.23333,75.300003,64.949738,10026562,3,1,2022,Q1
690,2021-12-31,73.73333,75.066666,73.73333,74.333336,64.115936,8717971,31,12,2021,Q4
689,2021-12-30,74.333336,74.5,73.266663,73.699997,63.569653,8269432,30,12,2021,Q4
688,2021-12-29,74.933334,75.0,74.0,74.333336,64.115936,6332934,29,12,2021,Q4
687,2021-12-28,74.166664,75.0,74.133331,74.866669,64.575958,8475690,28,12,2021,Q4
686,2021-12-27,73.466667,74.0,72.699997,73.833336,63.684662,6689944,27,12,2021,Q4
685,2021-12-24,75.633331,75.666664,73.199997,73.5,63.397144,17403219,24,12,2021,Q4
684,2021-12-23,73.266663,74.966667,73.133331,74.766663,64.489708,15427636,23,12,2021,Q4
683,2021-12-22,73.366669,73.366669,72.166664,72.699997,62.707111,16343983,22,12,2021,Q4
682,2021-12-21,73.0,73.533333,72.433334,73.0,62.965874,12582459,21,12,2021,Q4
681,2021-12-20,74.666664,75.0,72.099998,72.5,62.534603,17713881,20,12,2021,Q4
680,2021-12-17,77.300003,77.333336,74.900002,75.23333,64.89222,17648721,17,12,2021,Q4
679,2021-12-16,77.800003,78.099998,76.966667,77.166664,66.559814,15950560,16,12,2021,Q4
678,2021-12-15,78.466667,78.933334,77.0,77.133331,66.531059,17936938,15,12,2021,Q4
677,2021-12-14,79.333336,79.466667,78.099998,78.599998,67.796135,17422254,14,12,2021,Q4
676,2021-12-13,80.666664,80.866669,78.566666,78.866669,68.026146,20362045,13,12,2021,Q4
675,2021-12-10,80.0,80.866669,79.73333,80.033333,69.032448,20332264,10,12,2021,Q4
674,2021-12-09,80.666664,81.0,79.633331,79.800003,68.831192,19297434,9,12,2021,Q4
673,2021-12-08,81.099998,81.699997,80.0,80.266663,69.233704,14700337,8,12,2021,Q4
672,2021-12-07,81.199997,82.23333,80.166664,80.400002,69.348717,14464680,7,12,2021,Q4
671,2021-12-06,81.633331,82.066666,80.333336,80.633331,69.549973,9379269,6,12,2021,Q4
670,2021-12-03,80.666664,81.900002,80.5,81.466667,70.268768,14866089,3,12,2021,Q4
669,2021-12-02,78.666664,80.73333,78.599998,80.433334,69.377464,20686078,2,12,2021,Q4
668,2021-12-01,79.766663,79.966667,77.666664,78.466667,67.681129,19871665,1,12,2021,Q4
667,2021-11-30,79.333336,80.599998,78.566666,79.300003,68.39991,27563893,30,11,2021,Q4
666,2021-11-29,79.699997,80.633331,78.566666,79.199997,68.313652,15803560,29,11,2021,Q4
665,2021-11-26,83.73333,83.73333,80.333336,80.633331,69.549973,11587932,26,11,2021,Q4
664,2021-11-25,85.066666,85.333336,83.0,83.766663,72.252617,9581943,25,11,2021,Q4
663,2021-11-24,84.466667,86.199997,84.266663,85.066666,73.373924,12152407,24,11,2021,Q4
662,2021-11-23,82.666664,84.566666,82.5,84.099998,72.540138,18446718,23,11,2021,Q4
661,2021-11-22,86.366669,86.599998,82.699997,83.0,71.591339,11624364,22,11,2021,Q4
660,2021-11-18,85.633331,86.833336,85.066666,86.23333,74.380226,10891344,18,11,2021,Q4
659,2021-11-17,87.266663,87.599998,85.433334,85.633331,73.862701,9331351,17,11,2021,Q4
658,2021-11-16,88.933334,89.0,87.099998,87.333336,75.329041,9738892,16,11,2021,Q4
657,2021-11-15,88.833336,89.433334,88.0,88.566666,76.392838,8808997,15,11,2021,Q4
656,2021-11-12,89.333336,89.866669,88.033333,88.633331,76.450348,14255041,12,11,2021,Q4
655,2021-11-11,89.433334,90.400002,88.400002,88.866669,76.651604,19049466,11,11,2021,Q4
