Date,Open,High,Low,Close,Adj Close,Volume,Day,Month,Year,Quarter
07-07-2022,73.300003,73.300003,72.150002,72.699997,64.844543,17846046,7,7,2022,Q3
06-07-2022,74,74.599998,72.25,72.599998,64.755356,21856830,6,7,2022,Q3
05-07-2022,74.5,74.5,73.400002,73.599998,65.647301,17464685,5,7,2022,Q3
04-07-2022,74.699997,74.699997,73.300003,74.349998,66.316261,12798384,4,7,2022,Q3
01-07-2022,75,75.150002,72.849998,74.550003,66.494652,22029311,1,7,2022,Q3
30-06-2022,73.949997,76,73.699997,74.25,66.227066,34424950,30,6,2022,Q2
29-06-2022,72.400002,73.366669,72,73.199997,65.29052,18903900,29,6,2022,Q2
28-06-2022,73,73.766663,71.699997,72.199997,64.398567,22631172,28,6,2022,Q2
27-06-2022,73.333336,73.900002,72.533333,73.033333,65.141869,17830735,27,6,2022,Q2
24-06-2022,71.73333,72.433334,71.533333,72.333336,64.517502,11807979,24,6,2022,Q2
23-06-2022,70.666664,71.73333,70.099998,71.533333,63.803947,16579252,23,6,2022,Q2
22-06-2022,70.633331,71.066666,69.066666,70.366669,62.76334,18641673,22,6,2022,Q2
21-06-2022,69.366669,70.833336,69.033333,70.5,62.882267,14169558,21,6,2022,Q2
20-06-2022,70.066666,70.300003,67.699997,68.699997,61.27676,19163382,20,6,2022,Q2
17-06-2022,72,72,69.033333,69.466667,61.960583,23651413,17,6,2022,Q2
16-06-2022,73.699997,73.800003,71.666664,72.099998,64.30938,14897512,16,6,2022,Q2
15-06-2022,74,74,72.199997,72.800003,64.933746,14386729,15,6,2022,Q2
14-06-2022,75.699997,76,73.366669,73.5,65.558105,23524399,14,6,2022,Q2
13-06-2022,77.533333,77.533333,75.366669,75.73333,67.550117,15123129,13,6,2022,Q2
10-06-2022,78.599998,78.666664,77.666664,78.166664,69.72052,16173466,10,6,2022,Q2
09-06-2022,78.666664,80.466667,77.933334,78.866669,70.344887,32112393,9,6,2022,Q2
08-06-2022,79.099998,79.433334,78.433334,78.666664,70.166496,12953038,8,6,2022,Q2
07-06-2022,78.23333,79.666664,77.766663,78.800003,70.285431,14801011,7,6,2022,Q2
06-06-2022,78.866669,79.066666,77.633331,78.366669,69.898918,12162841,6,6,2022,Q2
03-06-2022,78.699997,79.333336,78.566666,78.866669,70.344887,13564659,3,6,2022,Q2
02-06-2022,79.23333,79.5,77.333336,78.433334,69.958374,16274652,2,6,2022,Q2
01-06-2022,78,79.366669,77.833336,78.800003,70.285431,16686021,1,6,2022,Q2
31-05-2022,77.133331,78.333336,77,77.333336,68.977242,19925845,31,5,2022,Q2
30-05-2022,76.833336,77.5,76.033333,77.400002,69.036697,12222628,30,5,2022,Q2
27-05-2022,76.933334,77.033333,75.433334,76.099998,67.877167,11616970,27,5,2022,Q2
26-05-2022,76.666664,77.199997,74.566666,76.133331,67.906898,23782918,26,5,2022,Q2
25-05-2022,79.533333,79.633331,76.133331,76.533333,68.26368,17317285,25,5,2022,Q2
24-05-2022,78.466667,79.73333,78.133331,79.133331,70.582741,18454173,24,5,2022,Q2
23-05-2022,78.400002,79.066666,77.800003,78.466667,69.988113,17487906,23,5,2022,Q2
20-05-2022,79.333336,79.466667,77.433334,77.966667,69.542137,24237945,20,5,2022,Q2
19-05-2022,78,78.933334,77,78.166664,69.72052,21865050,19,5,2022,Q2
18-05-2022,82.666664,82.933334,78.5,78.699997,70.196228,64902469,18,5,2022,Q2
17-05-2022,84,84,81.066666,82.933334,73.972145,27391533,17,5,2022,Q2
16-05-2022,82.666664,82.666664,80.433334,81.400002,72.604485,12566889,16,5,2022,Q2
13-05-2022,83.333336,83.5,80.466667,80.866669,72.128777,22601469,13,5,2022,Q2
12-05-2022,80.300003,82.666664,79.699997,81.400002,72.604485,30617643,12,5,2022,Q2
11-05-2022,82.266663,82.933334,79.23333,80.300003,71.623344,14615373,11,5,2022,Q2
10-05-2022,82.933334,84.199997,80.833336,81.333336,72.545021,15563373,10,5,2022,Q2
09-05-2022,83.766663,83.766663,80.900002,82.666664,73.734283,12361746,9,5,2022,Q2
06-05-2022,83.333336,85.166664,81.73333,84.166664,75.072205,13680673,6,5,2022,Q2
05-05-2022,84.666664,85.433334,83.466667,83.800003,74.745163,8015140,5,5,2022,Q2
04-05-2022,84.566666,85.800003,83.400002,83.900002,74.834351,8118435,4,5,2022,Q2
02-05-2022,83.966667,84.866669,82.666664,84.433334,75.310066,8623737,2,5,2022,Q2
29-04-2022,87.599998,87.599998,83.73333,84,74.923553,13013304,29,4,2022,Q2
28-04-2022,86.333336,86.833336,85.066666,86.633331,77.272339,15773589,28,4,2022,Q2
27-04-2022,85.066666,86,83.400002,84.900002,75.726295,14967738,27,4,2022,Q2
26-04-2022,86.266663,86.666664,85.166664,86.033333,76.737183,14133414,26,4,2022,Q2
25-04-2022,88.533333,88.633331,84.933334,85.166664,75.964157,16604310,25,4,2022,Q2
22-04-2022,89.933334,90.699997,89.23333,89.566666,79.888718,13678113,22,4,2022,Q2
21-04-2022,89.633331,90.266663,88.933334,90.033333,80.304962,22154311,21,4,2022,Q2
20-04-2022,87.333336,89.533333,87.099998,88.933334,79.323822,28690066,20,4,2022,Q2
19-04-2022,86.199997,88.666664,85.666664,86.866669,77.480461,30183165,19,4,2022,Q2
18-04-2022,85.133331,85.666664,84.333336,85.400002,76.172272,17471850,18,4,2022,Q2
13-04-2022,84.033333,86,83.766663,85.266663,76.053345,17675811,13,4,2022,Q2
12-04-2022,85.633331,85.866669,83.466667,84.033333,74.953278,14583673,12,4,2022,Q2
11-04-2022,84.599998,86.300003,84.400002,85.900002,76.61824,19137451,11,4,2022,Q2
08-04-2022,83.266663,85,82.699997,84.633331,75.488449,21699732,8,4,2022,Q2
07-04-2022,82.866669,84.5,82.166664,82.366669,73.466705,30238785,7,4,2022,Q2
06-04-2022,81.633331,84.266663,81,84.033333,74.953278,23580340,6,4,2022,Q2
05-04-2022,81.866669,82.333336,81.566666,81.766663,72.931526,13071195,5,4,2022,Q2
04-04-2022,81.400002,82,81.133331,81.533333,72.723419,14095200,4,4,2022,Q2
01-04-2022,79.400002,81.633331,79.333336,81.400002,72.604485,16052676,1,4,2022,Q2
31-03-2022,78.666664,80.633331,78.666664,79.300003,70.7314,31701618,31,3,2022,Q1
30-03-2022,79.800003,79.800003,77.400002,78.133331,69.690788,159640347,30,3,2022,Q1
29-03-2022,80.199997,80.866669,78.666664,78.866669,70.344887,14627074,29,3,2022,Q1
28-03-2022,79.599998,80.466667,78.466667,79.966667,71.326035,15342876,28,3,2022,Q1
25-03-2022,80.033333,80.566666,79.066666,79.199997,70.642204,12238471,25,3,2022,Q1
24-03-2022,81.199997,81.433334,80.23333,80.400002,71.71254,12377631,24,3,2022,Q1
23-03-2022,81.23333,82,80.433334,81.133331,72.366631,25271163,23,3,2022,Q1
22-03-2022,79.333336,81.23333,79,80.433334,71.742264,30929289,22,3,2022,Q1
21-03-2022,81.199997,81.199997,78.533333,78.666664,70.166496,18166521,21,3,2022,Q1
17-03-2022,81.599998,81.933334,80.066666,80.900002,72.158508,41700111,17,3,2022,Q1
16-03-2022,80.199997,81.73333,79.633331,81.300003,72.515289,15176752,16,3,2022,Q1
15-03-2022,80.533333,80.699997,78.800003,79.333336,70.761131,16501842,15,3,2022,Q1
14-03-2022,83.23333,83.23333,80.033333,80.533333,71.831474,22317814,14,3,2022,Q1
11-03-2022,80.533333,82.933334,80.266663,82.466667,73.555901,18598243,11,3,2022,Q1
10-03-2022,79.366669,80.933334,78.466667,80.633331,71.920662,27592384,10,3,2022,Q1
09-03-2022,79.266663,79.266663,77.199997,77.966667,69.542137,23476054,9,3,2022,Q1
08-03-2022,74.666664,78.5,74.400002,78.033333,69.601601,33483859,8,3,2022,Q1
07-03-2022,75.966667,75.966667,74.133331,74.833336,66.747368,25392553,7,3,2022,Q1
04-03-2022,76.633331,76.933334,75.199997,75.5,67.342003,25005861,4,3,2022,Q1
03-03-2022,76.666664,77.666664,75.333336,76.433334,68.174484,28291584,3,3,2022,Q1
02-03-2022,75.833336,77.599998,74.300003,74.833336,66.747368,22390246,2,3,2022,Q1
28-02-2022,75.199997,77.466667,73.73333,76.666664,68.382599,24781798,28,2,2022,Q1
25-02-2022,75.333336,79,74,74.900002,66.806831,28048713,25,2,2022,Q1
24-02-2022,76.633331,77.466667,72.866669,73.333336,65.409447,19848141,24,2,2022,Q1
23-02-2022,78.533333,78.866669,77.666664,78.099998,69.661057,8525215,23,2,2022,Q1
22-02-2022,78,79.099998,77.666664,78.066666,69.631332,11409610,22,2,2022,Q1
21-02-2022,80,80.766663,79.066666,79.466667,70.880058,8595442,21,2,2022,Q1
18-02-2022,80.933334,81.533333,80.400002,80.766663,72.039581,7978566,18,2,2022,Q1
17-02-2022,81.900002,82.633331,80.333336,80.933334,72.18824,16774602,17,2,2022,Q1
16-02-2022,79.5,81.466667,79.5,81,72.247711,17673190,16,2,2022,Q1
15-02-2022,78,79.333336,76.333336,79.166664,70.612473,12978223,15,2,2022,Q1
14-02-2022,80.666664,80.666664,77.433334,77.699997,69.304276,16463770,14,2,2022,Q1
